"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 04 23:39:06 GMT 2021","Sat Sep 04 23:39:24 GMT 2021","18117","testcases","test_c_new_data_and_modify","","","","test_c_new_data_and_modify",""
"passed","Sat Sep 04 23:36:38 GMT 2021","Sat Sep 04 23:39:06 GMT 2021","147395","testcases","test_b_register","","","","test_b_register",""
"passed","Sat Sep 04 23:34:46 GMT 2021","Sat Sep 04 23:36:38 GMT 2021","112283","testcases","test_a_login_logout","","","","test_a_login_logout",""
"passed","Sat Sep 04 23:39:24 GMT 2021","Sat Sep 04 23:40:01 GMT 2021","37131","testcases","test_d_cookie","","","","test_d_cookie",""
"passed","Sat Sep 04 23:40:01 GMT 2021","Sat Sep 04 23:40:19 GMT 2021","18182","testcases","test_e_rep_data_new_article","","","","test_e_rep_data_new_article",""
