"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 01 12:50:24 GMT 2021","Wed Dec 01 12:52:51 GMT 2021","146506","testcases","test_b_register","","","","test_b_register",""
"passed","Wed Dec 01 12:48:40 GMT 2021","Wed Dec 01 12:50:24 GMT 2021","104289","testcases","test_a_login_logout","","","","test_a_login_logout",""
"passed","Wed Dec 01 12:53:45 GMT 2021","Wed Dec 01 12:54:02 GMT 2021","17535","testcases","test_e_rep_data_new_article","","","","test_e_rep_data_new_article",""
"passed","Wed Dec 01 12:52:51 GMT 2021","Wed Dec 01 12:53:08 GMT 2021","17516","testcases","test_c_new_data_and_modify","","","","test_c_new_data_and_modify",""
"passed","Wed Dec 01 12:53:08 GMT 2021","Wed Dec 01 12:53:45 GMT 2021","36433","testcases","test_d_cookie","","","","test_d_cookie",""
